what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_23",1418143136701
java.vm.info,sysinfo,,,"mixed mode",1418143136701
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1418143136701
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1418143136701
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1418143136701
java.vm.specification.version,sysinfo,,,"1.0",1418143136701
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1418143136701
java.vm.version,sysinfo,,,"19.0-b09",1418143136701
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1418143137821
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1418143147203
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1418143147223
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1418143147303
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1418143147413
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1418143147413
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1418143147413
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1418143147413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418143147793
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1418143215453
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1418143215483
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1418143216613
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1418143217393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418143222524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418143226704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418143235576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418143235606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418143236767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418143237467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418143239057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418143244888
